Date,Weekday,Time,Program,Program_Sheet,Time_Slot,Rating,Cleaned_Series_Name
2024-10-01,二,,你也有今天  (第 13 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.14,你也有今天
2024-10-01,二,,你也有今天  (第 14 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.0,你也有今天
2024-10-01,二,,網路很忙  (第 17 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.05,網路很忙
2024-10-01,二,,網路很忙  (第 18 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.0,網路很忙
2024-10-01,二,,我的小確幸 首播 (第 7 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.01,我的小確幸 首播
2024-10-01,二,,我的小確幸 首播 (第 8 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.02,我的小確幸 首播
2024-10-01,二,,蠟筆小新  (第 391 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.0,蠟筆小新
2024-10-01,二,,蠟筆小新  (第 392 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.15,蠟筆小新
2024-10-01,二,,你也有今天 首播 (第 15 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.16000000000000003,你也有今天 首播
2024-10-01,二,,你也有今天 首播 (第 16 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.47,你也有今天 首播
2024-10-01,二,,長相思 第二季  (第 11 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.63,長相思 第二季
2024-10-01,二,,長相思 第二季  (第 12 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.04,長相思 第二季
2024-10-01,二,,軍師聯盟2虎嘯龍吟  (第 41 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.3000000000000003,軍師聯盟2虎嘯龍吟
2024-10-01,二,,軍師聯盟2虎嘯龍吟  (第 42 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.5999999999999999,軍師聯盟2虎嘯龍吟
2024-10-01,二,,長相思 第二季  (第 11 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.1700000000000004,長相思 第二季
2024-10-01,二,,長相思 第二季  (第 12 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.2000000000000002,長相思 第二季
2024-10-01,二,,知否知否應是綠肥紅瘦  (第 9 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.32,知否知否應是綠肥紅瘦
2024-10-01,二,,知否知否應是綠肥紅瘦  (第 10 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.5500000000000005,知否知否應是綠肥紅瘦
2024-10-01,二,,蠟筆小新  (第 393 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.4100000000000001,蠟筆小新
2024-10-01,二,,蠟筆小新  (第 394 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.7000000000000002,蠟筆小新
2024-10-01,二,,蠟筆小新  (第 395 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,2.37,蠟筆小新
2024-10-01,二,,蠟筆小新  (第 396 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,2.9100000000000006,蠟筆小新
2024-10-01,二,,長相思 第二季 首播 (第 13 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,3.1600000000000006,長相思 第二季 首播
2024-10-01,二,,長相思 第二季 首播 (第 14 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,3.7,長相思 第二季 首播
2024-10-01,二,,醫師好辣  (第 209 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.7500000000000002,醫師好辣
2024-10-01,二,,知否知否應是綠肥紅瘦  (第 11 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.1300000000000001,知否知否應是綠肥紅瘦
2024-10-01,二,,知否知否應是綠肥紅瘦  (第 12 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.1000000000000003,知否知否應是綠肥紅瘦
2024-10-02,三,,你也有今天  (第 15 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.22000000000000003,你也有今天
2024-10-02,三,,你也有今天  (第 16 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.13,你也有今天
2024-10-02,三,,網路很忙  (第 19 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.15000000000000002,網路很忙
2024-10-02,三,,網路很忙  (第 20 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.1,網路很忙
2024-10-02,三,,我的小確幸 首播 (第 9 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.02,我的小確幸 首播
2024-10-02,三,,我的小確幸 首播 (第 10 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.060000000000000005,我的小確幸 首播
2024-10-02,三,,蠟筆小新  (第 395 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.03,蠟筆小新
2024-10-02,三,,蠟筆小新  (第 396 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.15000000000000002,蠟筆小新
2024-10-02,三,,你也有今天 首播 (第 17 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.66,你也有今天 首播
2024-10-02,三,,你也有今天 首播 (第 18 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.1800000000000002,你也有今天 首播
2024-10-02,三,,長相思 第二季  (第 13 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.24,長相思 第二季
2024-10-02,三,,長相思 第二季  (第 14 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.4500000000000002,長相思 第二季
2024-10-02,三,,軍師聯盟2虎嘯龍吟  (第 43 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.71,軍師聯盟2虎嘯龍吟
2024-10-02,三,,軍師聯盟2虎嘯龍吟(完)  (第 44 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,2.21,軍師聯盟2虎嘯龍吟
2024-10-02,三,,長相思 第二季  (第 13 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,2.3600000000000003,長相思 第二季
2024-10-02,三,,長相思 第二季  (第 14 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,2.9299999999999997,長相思 第二季
2024-10-02,三,,知否知否應是綠肥紅瘦  (第 11 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,3.43,知否知否應是綠肥紅瘦
2024-10-02,三,,知否知否應是綠肥紅瘦  (第 12 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,3.88,知否知否應是綠肥紅瘦
2024-10-02,三,,蠟筆小新  (第 397 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,3.2799999999999994,蠟筆小新
2024-10-02,三,,蠟筆小新  (第 398 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,3.88,蠟筆小新
2024-10-02,三,,蠟筆小新  (第 399 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,4.13,蠟筆小新
2024-10-02,三,,蠟筆小新  (第 400 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,3.76,蠟筆小新
2024-10-02,三,,長相思 第二季 首播 (第 15 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,4.609999999999999,長相思 第二季 首播
2024-10-02,三,,長相思 第二季 首播 (第 16 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,5.410000000000001,長相思 第二季 首播
2024-10-02,三,,醫師好辣  (第 210 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,2.8,醫師好辣
2024-10-02,三,,知否知否應是綠肥紅瘦  (第 13 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.9200000000000004,知否知否應是綠肥紅瘦
2024-10-02,三,,知否知否應是綠肥紅瘦  (第 14 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.8900000000000001,知否知否應是綠肥紅瘦
2024-10-03,四,,你也有今天  (第 17 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.37,你也有今天
2024-10-03,四,,你也有今天  (第 18 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.17000000000000004,你也有今天
2024-10-03,四,,網路很忙  (第 21 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.04,網路很忙
2024-10-03,四,,網路很忙  (第 22 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.0,網路很忙
2024-10-03,四,,我的小確幸 首播 (第 11 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.03,我的小確幸 首播
2024-10-03,四,,我的小確幸 首播 (第 12 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.05,我的小確幸 首播
2024-10-03,四,,蠟筆小新  (第 399 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.08999999999999998,蠟筆小新
2024-10-03,四,,蠟筆小新  (第 400 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.30000000000000004,蠟筆小新
2024-10-03,四,,你也有今天 首播 (第 19 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,0.7200000000000002,你也有今天 首播
2024-10-03,四,,你也有今天 首播 (第 20 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.1400000000000001,你也有今天 首播
2024-10-03,四,,長相思 第二季  (第 15 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.9500000000000002,長相思 第二季
2024-10-03,四,,長相思 第二季  (第 16 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,2.2399999999999998,長相思 第二季
2024-10-03,四,,恩愛兩不疑 首播 (第 1 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,2.1400000000000006,恩愛兩不疑 首播
2024-10-03,四,,恩愛兩不疑 首播 (第 2 集)(普),2024年10月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,,1.7200000000000004,恩愛兩不疑 首播
