Date,Weekday,Time,Program,Program_Sheet,Time_Slot,Rating,Cleaned_Series_Name,4歲以上,15-44歲,4歲以上最高,4歲以上女性,4歲以上男性,15-24歲,15-24歲女性,15-24歲男性,25-34歲,25-34歲女性,25-34歲男性,35-44歲,35-44歲女性,35-44歲男性,45-54歲,45-54歲女性,45-54歲男性,55歲以上,55歲以上女性,55歲以上男性
2024-01-01,一,00:00:00,神鵰俠侶  (第 7 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,00:00~01:00,0.02,神鵰俠侶,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.04,0.02,0.01,0.01,0.02
2024-01-01,一,01:00:00,神鵰俠侶  (第 8 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,01:00~02:00,0.01,神鵰俠侶,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.03,0.02,0.04,0.01,0.0,0.02,0.02,0.01,0.01,0.0,0.0,0.0
2024-01-01,一,02:00:00,熾道 首播 (第 17 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,02:00~03:00,0.01,熾道,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01
2024-01-01,一,03:00:00,熾道 首播 (第 18 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,03:00~04:00,0.0,熾道,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0
2024-01-01,一,04:00:00,一剪芳華  (第 15 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,04:00~05:00,0.0,一剪芳華,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,一,05:00:00,一剪芳華  (第 16 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,05:00~06:00,0.0,一剪芳華,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01
2024-01-01,一,06:00:00,老虎假面W  (第 19 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,06:00~06:30,0.0,老虎假面W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
2024-01-01,一,06:30:00,老虎假面W  (第 20 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,06:30~07:00,0.0,老虎假面W,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0
2024-01-01,一,07:00:00,慶餘年  (第 25 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,07:00~08:00,0.03,慶餘年,0.03,0.01,0.03,0.03,0.02,0.01,0.01,0.0,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.03,0.01,0.05,0.06,0.04
2024-01-01,一,08:00:00,慶餘年  (第 26 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,08:00~09:00,0.07,慶餘年,0.07,0.04,0.09,0.09,0.07,0.03,0.02,0.04,0.07,0.08,0.05,0.03,0.02,0.04,0.07,0.1,0.04,0.15,0.16,0.13
2024-01-01,一,09:00:00,神鵰俠侶  (第 7 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,09:00~10:00,0.06,神鵰俠侶,0.06,0.04,0.06,0.08,0.05,0.04,0.01,0.05,0.03,0.06,0.01,0.05,0.05,0.05,0.07,0.1,0.04,0.11,0.13,0.09
2024-01-01,一,10:00:00,神鵰俠侶  (第 8 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,10:00~11:00,0.09,神鵰俠侶,0.09,0.08,0.1,0.1,0.08,0.08,0.04,0.12,0.08,0.1,0.05,0.08,0.07,0.1,0.12,0.14,0.1,0.11,0.14,0.08
2024-01-01,一,11:00:00,慶餘年  (第 27 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,11:00~12:00,0.13,慶餘年,0.13,0.11,0.15,0.16,0.11,0.1,0.07,0.13,0.15,0.13,0.17,0.09,0.08,0.11,0.18,0.22,0.14,0.18,0.24,0.11
2024-01-01,一,12:00:00,慶餘年  (第 28 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,12:00~13:00,0.18,慶餘年,0.18,0.17,0.2,0.21,0.15,0.18,0.1,0.24,0.21,0.16,0.27,0.14,0.13,0.15,0.18,0.24,0.12,0.26,0.36,0.14
2024-01-01,一,13:00:00,請君  (第 13 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,13:00~14:00,0.12,請君,0.12,0.13,0.12,0.14,0.1,0.12,0.1,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.11,0.11,0.12,0.15,0.19,0.1
2024-01-01,一,14:00:00,請君  (第 14 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,14:00~15:00,0.15,請君,0.15,0.15,0.16,0.16,0.14,0.14,0.06,0.21,0.17,0.18,0.16,0.14,0.13,0.16,0.18,0.2,0.16,0.16,0.18,0.14
2024-01-01,一,15:00:00,神鵰俠侶  (第 9 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,15:00~16:00,0.12,神鵰俠侶,0.12,0.13,0.13,0.13,0.1,0.13,0.12,0.14,0.14,0.14,0.13,0.11,0.13,0.08,0.12,0.12,0.11,0.14,0.17,0.11
2024-01-01,一,16:00:00,神鵰俠侶  (第 10 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,16:00~17:00,0.15,神鵰俠侶,0.15,0.15,0.16,0.17,0.12,0.18,0.28,0.1,0.16,0.17,0.16,0.11,0.13,0.1,0.17,0.18,0.15,0.17,0.22,0.12
2024-01-01,一,17:00:00,老虎假面W 首播 (第 21 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,17:00~17:30,0.05,老虎假面W,0.05,0.05,0.05,0.07,0.04,0.07,0.1,0.04,0.02,0.03,0.01,0.05,0.05,0.04,0.05,0.06,0.04,0.08,0.11,0.04
2024-01-01,一,17:30:00,老虎假面W 首播 (第 22 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,17:30~18:00,0.04,老虎假面W,0.04,0.03,0.04,0.04,0.03,0.01,0.02,0.01,0.02,0.02,0.03,0.05,0.03,0.07,0.05,0.05,0.04,0.05,0.07,0.02
2024-01-01,一,18:00:00,蠟筆小新  (第 14 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,18:00~18:30,0.12,蠟筆小新,0.12,0.13,0.12,0.13,0.11,0.11,0.14,0.08,0.12,0.12,0.11,0.15,0.14,0.15,0.13,0.15,0.12,0.12,0.13,0.11
2024-01-01,一,18:30:00,蠟筆小新  (第 15 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,18:30~19:00,0.11,蠟筆小新,0.11,0.1,0.11,0.12,0.1,0.11,0.11,0.11,0.1,0.08,0.13,0.1,0.13,0.08,0.13,0.16,0.1,0.12,0.12,0.11
2024-01-01,一,19:00:00,請君 首播 (第 15 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,19:00~20:00,0.11,請君,0.11,0.09,0.11,0.11,0.11,0.11,0.16,0.07,0.05,0.03,0.06,0.1,0.07,0.14,0.14,0.13,0.16,0.14,0.14,0.13
2024-01-01,一,20:00:00,請君 首播 (第 16 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,20:00~21:00,0.14,請君,0.14,0.11,0.14,0.14,0.14,0.1,0.09,0.11,0.11,0.09,0.14,0.12,0.09,0.16,0.17,0.18,0.17,0.2,0.21,0.2
2024-01-01,一,21:00:00,醫師好辣  (第 247 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,21:00~22:00,0.08,醫師好辣,0.08,0.08,0.08,0.1,0.07,0.13,0.08,0.17,0.07,0.1,0.05,0.03,0.02,0.05,0.13,0.15,0.11,0.1,0.13,0.05
2024-01-01,一,22:00:00,慶餘年  (第 27 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,22:00~23:00,0.08,慶餘年,0.08,0.07,0.08,0.08,0.08,0.09,0.08,0.11,0.05,0.05,0.06,0.08,0.08,0.09,0.11,0.11,0.1,0.09,0.09,0.09
2024-01-01,一,23:00:00,慶餘年  (第 28 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,23:00~24:00,0.06,慶餘年,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.07,0.09,0.14,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.07,0.08,0.06
2024-01-02,二,00:00:00,神鵰俠侶  (第 9 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,00:00~01:00,0.01,神鵰俠侶,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.01
2024-01-02,二,01:00:00,神鵰俠侶  (第 10 集)(普),2024年1月綜合台尼爾森分時收視資料.xlsx:尼爾森各節目年齡層收視率,01:00~02:00,0.0,神鵰俠侶,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0
