Date,Weekday,Time,Program,Sheet
2024-01-01,一,00:00:00,神鵰俠侶#7,20240101-0204
2024-01-01,一,01:00:00,神鵰俠侶#8,20240101-0204
2024-01-01,一,02:00:00,熾道#17,20240101-0204
2024-01-01,一,03:00:00,熾道#18,20240101-0204
2024-01-01,一,04:00:00,一剪芳華#15,20240101-0204
2024-01-01,一,05:00:00,一剪芳華#16,20240101-0204
2024-01-01,一,06:00:00,老虎假面W#19,20240101-0204
2024-01-01,一,06:30:00,老虎假面W#20,20240101-0204
2024-01-01,一,07:00:00,慶餘年#25,20240101-0204
2024-01-01,一,08:00:00,慶餘年#26,20240101-0204
2024-01-01,一,09:00:00,神鵰俠侶#7,20240101-0204
2024-01-01,一,10:00:00,神鵰俠侶#8,20240101-0204
2024-01-01,一,11:00:00,慶餘年#27,20240101-0204
2024-01-01,一,12:00:00,慶餘年#28,20240101-0204
2024-01-01,一,13:00:00,請君#13,20240101-0204
2024-01-01,一,14:00:00,請君#14,20240101-0204
2024-01-01,一,15:00:00,神鵰俠侶#9,20240101-0204
2024-01-01,一,16:00:00,神鵰俠侶#10,20240101-0204
2024-01-01,一,17:00:00,老虎假面W#21,20240101-0204
2024-01-01,一,17:30:00,老虎假面W#22,20240101-0204
2024-01-01,一,18:00:00,蠟筆小新##14,20240101-0204
2024-01-01,一,18:30:00,蠟筆小新##15,20240101-0204
2024-01-01,一,19:00:00,請君#15,20240101-0204
2024-01-01,一,20:00:00,請君#16,20240101-0204
2024-01-01,一,21:00:00,醫師好辣#247,20240101-0204
2024-01-01,一,22:00:00,慶餘年#27,20240101-0204
2024-01-01,一,23:00:00,慶餘年#28,20240101-0204
2024-01-02,二,00:00:00,神鵰俠侶#9,20240101-0204
2024-01-02,二,01:00:00,神鵰俠侶#10,20240101-0204
2024-01-02,二,02:00:00,熾道#19,20240101-0204
2024-01-02,二,03:00:00,熾道#20,20240101-0204
2024-01-02,二,04:00:00,一剪芳華#17,20240101-0204
2024-01-02,二,05:00:00,一剪芳華#18,20240101-0204
2024-01-02,二,06:00:00,老虎假面W#21,20240101-0204
2024-01-02,二,06:30:00,老虎假面W#22,20240101-0204
2024-01-02,二,07:00:00,慶餘年#27,20240101-0204
2024-01-02,二,08:00:00,慶餘年#28,20240101-0204
2024-01-02,二,09:00:00,神鵰俠侶#9,20240101-0204
2024-01-02,二,10:00:00,神鵰俠侶#10,20240101-0204
2024-01-02,二,11:00:00,慶餘年#29,20240101-0204
2024-01-02,二,12:00:00,慶餘年#30,20240101-0204
2024-01-02,二,13:00:00,請君#15,20240101-0204
2024-01-02,二,14:00:00,請君#16,20240101-0204
2024-01-02,二,15:00:00,神鵰俠侶#11,20240101-0204
2024-01-02,二,16:00:00,神鵰俠侶#12,20240101-0204
2024-01-02,二,17:00:00,老虎假面W#23,20240101-0204
2024-01-02,二,17:30:00,老虎假面W#24,20240101-0204
2024-01-02,二,18:00:00,蠟筆小新##16,20240101-0204
2024-01-02,二,18:30:00,蠟筆小新##17,20240101-0204
